object:x:1130, y:1, w:143, h:133, class:'Steel_ball'
object:x:1130, y:76, w:135, h:168, class:'Steel_ball'
object:x:1130, y:74, w:143, h:179, class:'Steel_ball'
object:x:1128, y:86, w:136, h:155, class:'Steel_ball'
object:x:1126, y:82, w:143, h:163, class:'Steel_ball'
object:x:1134, y:106, w:124, h:131, class:'Steel_ball'
object:x:1138, y:101, w:112, h:155, class:'Steel_ball'
object:x:1134, y:110, w:124, h:154, class:'Steel_ball'
object:x:1121, y:34, w:143, h:164, class:'Steel_ball'
object:x:1119, y:29, w:144, h:164, class:'Steel_ball'
object:x:1126, y:35, w:143, h:148, class:'Steel_ball'
object:x:1115, y:15, w:165, h:162, class:'Steel_ball'
object:x:1130, y:42, w:135, h:131, class:'Steel_ball'
object:x:1130, y:43, w:135, h:142, class:'Steel_ball'
object:x:1122, y:38, w:144, h:163, class:'Steel_ball'
object:x:1126, y:41, w:143, h:164, class:'Steel_ball'
object:x:1136, y:37, w:123, h:155, class:'Steel_ball'
object:x:1122, y:42, w:148, h:155, class:'Steel_ball'
object:x:1120, y:37, w:148, h:155, class:'Steel_ball'
object:x:1125, y:37, w:135, h:155, class:'Steel_ball'
object:x:1122, y:49, w:148, h:142, class:'Steel_ball'
object:x:1120, y:46, w:148, h:130, class:'Steel_ball'
object:x:1144, y:40, w:112, h:155, class:'Steel_ball'
object:x:1125, y:43, w:135, h:142, class:'Steel_ball'
object:x:1126, y:39, w:136, h:154, class:'Steel_ball'
object:x:1121, y:40, w:143, h:148, class:'Steel_ball'
object:x:1131, y:40, w:130, h:163, class:'Steel_ball'
object:x:1128, y:41, w:136, h:143, class:'Steel_ball'
object:x:1120, y:49, w:148, h:130, class:'Steel_ball'
object:x:1133, y:38, w:129, h:163, class:'Steel_ball'
object:x:1113, y:41, w:159, h:164, class:'Steel_ball'
object:x:1136, y:45, w:123, h:142, class:'Steel_ball'
object:x:1110, y:35, w:166, h:162, class:'Steel_ball'
object:x:1132, y:40, w:124, h:155, class:'Steel_ball'
object:x:1125, y:47, w:135, h:131, class:'Steel_ball'
object:x:1126, y:41, w:136, h:143, class:'Steel_ball'
object:x:1131, y:43, w:123, h:142, class:'Steel_ball'
object:x:1132, y:46, w:124, h:130, class:'Steel_ball'
object:x:1119, y:31, w:144, h:163, class:'Steel_ball'
object:x:1112, y:44, w:148, h:130, class:'Steel_ball'
object:x:1120, y:47, w:135, h:131, class:'Steel_ball'
object:x:1117, y:47, w:148, h:131, class:'Steel_ball'
object:x:1123, y:55, w:136, h:119, class:'Steel_ball'
object:x:1125, y:51, w:135, h:130, class:'Steel_ball'
object:x:1130, y:43, w:135, h:142, class:'Steel_ball'
object:x:1138, y:29, w:113, h:164, class:'Steel_ball'
object:x:1136, y:42, w:123, h:155, class:'Steel_ball'
object:x:1129, y:38, w:130, h:163, class:'Steel_ball'
object:x:1130, y:51, w:135, h:130, class:'Steel_ball'
object:x:1126, y:45, w:136, h:142, class:'Steel_ball'
object:x:1125, y:46, w:135, h:143, class:'Steel_ball'
object:x:1124, y:49, w:148, h:130, class:'Steel_ball'
object:x:1133, y:34, w:129, h:164, class:'Steel_ball'
object:x:1134, y:45, w:124, h:142, class:'Steel_ball'
object:x:1132, y:52, w:124, h:131, class:'Steel_ball'
object:x:1133, y:43, w:129, h:163, class:'Steel_ball'
object:x:1132, y:46, w:136, h:143, class:'Steel_ball'
object:x:1132, y:52, w:124, h:131, class:'Steel_ball'
object:x:1136, y:51, w:123, h:130, class:'Steel_ball'
object:x:1134, y:51, w:124, h:130, class:'Steel_ball'
object:x:1133, y:38, w:129, h:163, class:'Steel_ball'
object:x:1130, y:42, w:135, h:155, class:'Steel_ball'
object:x:1129, y:41, w:130, h:164, class:'Steel_ball'
object:x:1121, y:43, w:143, h:163, class:'Steel_ball'
object:x:1126, y:47, w:136, h:155, class:'Steel_ball'
object:x:1128, y:54, w:136, h:142, class:'Steel_ball'
object:x:1129, y:43, w:124, h:142, class:'Steel_ball'
object:x:1123, y:44, w:136, h:130, class:'Steel_ball'
object:x:1120, y:35, w:148, h:142, class:'Steel_ball'
object:x:1126, y:35, w:136, h:142, class:'Steel_ball'
object:x:1124, y:30, w:144, h:148, class:'Steel_ball'
object:x:1133, y:21, w:129, h:163, class:'Steel_ball'
object:x:1126, y:20, w:143, h:163, class:'Steel_ball'
object:x:1136, y:44, w:123, h:130, class:'Steel_ball'
object:x:1117, y:17, w:163, h:162, class:'Steel_ball'
object:x:1111, y:20, w:166, h:162, class:'Steel_ball'
object:x:1113, y:15, w:166, h:162, class:'Steel_ball'
object:x:1112, y:32, w:158, h:148, class:'Steel_ball'
object:x:1119, y:32, w:144, h:148, class:'Steel_ball'
object:x:1119, y:32, w:144, h:148, class:'Steel_ball'
object:x:1125, y:39, w:135, h:130, class:'Steel_ball'
object:x:1119, y:28, w:144, h:148, class:'Steel_ball'
object:x:1125, y:33, w:135, h:142, class:'Steel_ball'
object:x:1112, y:32, w:158, h:148, class:'Steel_ball'
object:x:1122, y:29, w:144, h:148, class:'Steel_ball'
object:x:1121, y:29, w:143, h:148, class:'Steel_ball'
object:x:1115, y:31, w:148, h:142, class:'Steel_ball'
object:x:1119, y:28, w:144, h:149, class:'Steel_ball'
object:x:1119, y:18, w:148, h:163, class:'Steel_ball'
object:x:1097, y:10, w:183, h:162, class:'Steel_ball'
object:x:1113, y:20, w:166, h:145, class:'Steel_ball'
object:x:1108, y:12, w:166, h:162, class:'Steel_ball'
object:x:1124, y:24, w:148, h:145, class:'Steel_ball'
object:x:1113, y:3, w:166, h:186, class:'Steel_ball'
object:x:1128, y:29, w:144, h:134, class:'Steel_ball'
object:x:1111, y:8, w:166, h:163, class:'Steel_ball'
object:x:1110, y:10, w:166, h:162, class:'Steel_ball'
object:x:1122, y:13, w:148, h:145, class:'Steel_ball'
object:x:1124, y:4, w:148, h:163, class:'Steel_ball'
object:x:1130, y:15, w:143, h:149, class:'Steel_ball'
object:x:1126, y:8, w:148, h:163, class:'Steel_ball'
object:x:1134, y:18, w:135, h:142, class:'Steel_ball'
object:x:1118, y:7, w:162, h:162, class:'Steel_ball'
object:x:1126, y:8, w:148, h:163, class:'Steel_ball'
object:x:1133, y:15, w:144, h:149, class:'Steel_ball'
object:x:1135, y:17, w:136, h:142, class:'Steel_ball'
object:x:1134, y:19, w:135, h:130, class:'Steel_ball'
object:x:1135, y:18, w:136, h:142, class:'Steel_ball'
object:x:1128, y:6, w:129, h:163, class:'Steel_ball'
object:x:1125, y:17, w:135, h:142, class:'Steel_ball'
object:x:1128, y:14, w:129, h:148, class:'Steel_ball'
object:x:1122, y:14, w:144, h:148, class:'Steel_ball'
object:x:1122, y:9, w:144, h:164, class:'Steel_ball'
object:x:1110, y:34, w:168, h:121, class:'Steel_ball'
object:x:1110, y:20, w:168, h:159, class:'Steel_ball'
object:x:1111, y:22, w:166, h:145, class:'Steel_ball'
object:x:1120, y:24, w:148, h:145, class:'Steel_ball'
object:x:1131, y:17, w:130, h:148, class:'Steel_ball'
object:x:1110, y:13, w:166, h:163, class:'Steel_ball'
object:x:1111, y:13, w:166, h:163, class:'Steel_ball'
object:x:1113, y:8, w:166, h:163, class:'Steel_ball'
object:x:1111, y:13, w:166, h:163, class:'Steel_ball'
object:x:1122, y:0, w:148, h:184, class:'Steel_ball'
object:x:1110, y:13, w:166, h:163, class:'Steel_ball'
object:x:1104, y:6, w:113, h:149, class:'Steel_ball'
